ಮುನ್ನುಡಿ	N__NN	NP
.	RD__PUNC	BLK
ತಮಿಳುನಾಡಿನಲ್ಲಿ	N__NNP	NP
ಕೈಗಾರಿಕೆ	N__NN	NP
,	RD__PUNC	NP
ಮಾಹಿತಿ	N__NN	NP
ತಂತ್ರಜ್ಞಾನ	N__NN	NP
,	RD__PUNC	NP
ವಿಶೇಷ	RP__INTF	NP
ಆರ್ಥಿಕ	JJ	NP
ವಲಯ	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ವಿವಿಧ	JJ	NP
ಕ್ಷೇತ್ರಗಳಲ್ಲಿನ	N__NN	NP
ಗಮನಾರ್ಹ	JJ	NP
ಅಭಿವೃದ್ಧಿ	N__NN	NP
ಒಂದಿಗೆ	RP__RPD	NP
ನಗರೀಕರಣದಲ್ಲಿ	N__NN	NP
ತಮಿಳುನಾಡು	N__NNP	NP
ಭಾರತದ	N__NNP	NP
ಮೂರನೇ	QT__QTO	NP
ಅತೀ	RP__INTF	NP
ದೊಡ್ಡ	JJ	NP
ರಾಜ್ಯವು	N__NN	NP
ಆಗಿದೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ಕೈಗಾರಿಕಾ	JJ	NP
ಅಭಿವೃದ್ಧಿಯನ್ನು	N__NN	NP
ಉತ್ತೇಜಿಸುವಲ್ಲಿ	V__VM__VNG	VGNN
ರಸ್ತೆಗಳು	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ಸೇತುವೆಗಳು	N__NN	NP
ಮುಖ್ಯ	JJ	NP
ಪಾತ್ರ	N__NN	NP
ನಿರ್ವಹಿಸುತ್ತವೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ಕೈಗಾರಿಕಾ	JJ	NP
ಬೆಳವಣಿಗೆ	N__NNV	NP
,	RD__PUNC	NP
ಹೆಚ್ಚುತ್ತಿರುವ	V__VNG	VGNN
ವಾಹನಗಳ	N__NN	NP
ಸಂಖ್ಯೆ	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
