en	sentence1	sentence2	label
on receiving the information, the police reached the spot, rushed the victims to a local hospital.	ಸುದ್ದಿ ತಿಳಿದ ಕೂಡಲೇ ಸ್ಥಳಕ್ಕೆ ಆಗಮಿಸಿದ ಪೊಲೀಸರು ಗಾಯಾಳುಗಳನ್ನು ಸ್ಥಳೀಯ ಆಸ್ಪತ್ರೆಗೆ ದಾಖಲಿಸಿದ್ದಾರೆ.	ಆರಕ್ಷಕರು ಸುದ್ದಿ ತಿಳಿಯುತ್ತಿದಂತೆಯೇ ಸ್ಥಳಕ್ಕೆ ಧಾವಿಸಿ ಗಾಯಾಳುಗಳನ್ನು  ಸ್ಥಳೀಯ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ದಾಖೀಲುಮಾಡಿದರು	1
on receiving the information, the police reached the spot, rushed the victims to a local hospital.	ಸುದ್ದಿ ತಿಳಿದ ಕೂಡಲೇ ಸ್ಥಳಕ್ಕೆ ಆಗಮಿಸಿದ ಪೊಲೀಸರು ಗಾಯಾಳುಗಳನ್ನು ಸ್ಥಳೀಯ ಆಸ್ಪತ್ರೆಗೆ ದಾಖಲಿಸಿದ್ದಾರೆ.	 ಪೋಲಿಸರನ್ನು ಸ್ಥಳೀಯ ಆಸ್ಪತ್ರೆಗೆ ದಾಖಲಿಸಿದ ಗಾಯಾಳುಗಳು  ಸುದ್ದಿ ತಿಳಿದ ಕೂಡಲೇ ಸ್ಥಳಕ್ಕೆ ಆಗಮಿಸಿದರು.	0
he won the filmfare award for best supporting actor for his performance in the film.	ಈ ಚಿತ್ರದ ಅಭಿನಯಕ್ಕಾಗಿ ಅವರು ಫಿಲಂ ಫೇರ್ನ ಅತ್ಯುತ್ತಮ ಪೋಷಕ ನಟ ಪ್ರಶಸ್ತಿಗೆ ಭಾಜನರಾದರು.	ಈ ಚಿತ್ರದಲ್ಲಿನ ಅಭಿನಯವು ಅವರಿಗೆ ಫಿಲಂ ಫೇರ್ನ  ಅತ್ಯುತ್ತಮ ಪೋಷಕ ನಟನ ಪ್ರಶಸ್ತಿಯನ್ನು ಗಳಿಸಿಕೊಟ್ಟಿತು.	1
he won the filmfare award for best supporting actor for his performance in the film.	ಈ ಚಿತ್ರದ ಅಭಿನಯಕ್ಕಾಗಿ ಅವರು ಫಿಲಂ ಫೇರ್ನ ಅತ್ಯುತ್ತಮ ಪೋಷಕ ನಟ ಪ್ರಶಸ್ತಿಗೆ ಭಾಜನರಾದರು.	ಪೋಷಕ ನಟ ಅಭಿನಯಕ್ಕೆ ಈ ಚಿತ್ರದಲ್ಲಿ ಫಿಲಂ ಫೇರ್  ಅವರು ಅತ್ಯತ್ತಮ  ಪ್ರಶಸ್ತಿಗೆ ಭಾಜನರಾದರು.	0
chandigarh: punjab kala parishad would honour eminent punjabi litterateur jaswant singh kanwal with punjab gaurav puraskar on the eve of his birth centenary.	ಚಂಡೀಗಢ: ಪಂಜಾಬ್ ಕಲಾ ಪರಿಷತ್ ವತಿಯಿಂದ ಪ್ರಖ್ಯಾತ ಪಂಜಾಬಿ ಸಾಹಿತಿ ಜಸ್ವಂತ್ ಸಿಂಗ್ ಕನ್ವಾಲ್ ಅವರಿಗೆ ಅವರ ಜನ್ಮ ಶತಮಾನೋತ್ಸವದ ಮುನ್ನಾದಿನ ‘ಪಂಜಾಬ್ ಗೌರವ್ ಪುರಸ್ಕಾರ’ ನೀಡಿ ಗೌರವಿಸಲಾಗುವುದು.	ಚಂಢೀಗಢ: ಪಂಜಾಬಿ ಪ್ರಸಿದ್ಧ ಸಾಹಿತಿ ಜಸ್ವಂತ್ ಸಿಂಗ್ ಕನ್ವಾಲರ ಗೌರವಾರ್ಥ ಅವರ ಜನ್ಮ ಶತಮಾನೊತ್ಸವದ ಅಂಗವಾಗಿ  ಪಂಜಾಬಿನ ಕಲಾ ಪರಿಷತ್ತು   ಹಿಂದಿನ ಸಂಜೆ ʼಪಂಜಾಬ್‌ ಗೌರವ್‌ ಪುರಸ್ಕಾರʼ ಪ್ರದಾನಿಸಲಿದೆ.	1
chandigarh: punjab kala parishad would honour eminent punjabi litterateur jaswant singh kanwal with punjab gaurav puraskar on the eve of his birth centenary.	ಚಂಡೀಗಢ: ಪಂಜಾಬ್ ಕಲಾ ಪರಿಷತ್ ವತಿಯಿಂದ ಪ್ರಖ್ಯಾತ ಪಂಜಾಬಿ ಸಾಹಿತಿ ಜಸ್ವಂತ್ ಸಿಂಗ್ ಕನ್ವಾಲ್ ಅವರಿಗೆ ಅವರ ಜನ್ಮ ಶತಮಾನೋತ್ಸವದ ಮುನ್ನಾದಿನ ‘ಪಂಜಾಬ್ ಗೌರವ್ ಪುರಸ್ಕಾರ’ ನೀಡಿ ಗೌರವಿಸಲಾಗುವುದು.	ಚಂಡೀಗಢ: ಪಂಜಾಬ್ ಕಲಾ ಪರಿಷತ್ತಿಗೆ  ಪ್ರಖ್ಯಾತ ಪಂಜಾಬಿ ಸಾಹಿತಿ ಜಸ್ವಂತ್ ಸಿಂಗ್ ಕನ್ವಾಲ್ ಅವರು  ಜನ್ಮ ಶತಮಾನೋತ್ಸವದ ಮುನ್ನಾದಿನ ‘ಪಂಜಾಬ್ ಗೌರವ್ ಪುರಸ್ಕಾರ’ ನೀಡಿ ಗೌರವಿಸುತ್ತಿದ್ದಾರೆ.	0
shiv sena president uddhav thackeray is at the head of the state government as the chief minister.	ಶಿವ ಸೇನಾ ಅಧ್ಯಕ್ಷರಾದ ಶ್ರೀ ಉದ್ಧವ್ ಠಾಕ್ರೆ ಅವರು ಮುಖ್ಯಮಂತ್ರಿಯಾಗಿ ರಾಜ್ಯ ಸರ್ಕಾರದ ಮುಖ್ಯಸ್ಥರಾಗಿದ್ದಾರೆ.	ರಾಜ್ಯದ ಮುಖ್ಯಮಂತ್ರಿಯಾದ ಶ್ರೀ ಉದ್ಧವ್ ಠಾಕ್ರೆ ರಾಜ್ಯ ಸರ್ಕಾರದ ನಾಯಕರೂ ಶಿವಸೇನೆಯ ಅಧ್ಯಕ್ಷರೂ ಆಗಿದ್ದಾರೆ.	1
shiv sena president uddhav thackeray is at the head of the state government as the chief minister.	ಶಿವ ಸೇನಾ ಅಧ್ಯಕ್ಷರಾದ ಶ್ರೀ ಉದ್ಧವ್ ಠಾಕ್ರೆ ಅವರು ಮುಖ್ಯಮಂತ್ರಿಯಾಗಿ ರಾಜ್ಯ ಸರ್ಕಾರದ ಮುಖ್ಯಸ್ಥರಾಗಿದ್ದಾರೆ.	ರಾಜ್ಯ ಸರ್ಕಾರದ ಮುಖ್ಯಸ್ಥರು ಮುಖ್ಯಮಂತ್ರಿಯಾಗಿ ಶ್ರೀ ಉದ್ಧವ್‌ ಠಾಕ್ರೆ ಅವರು ಶಿವ ಸೇನಾ ಅಧ್ಯಕ್ಷರಾಗಿದ್ದಾರೆ.	0
candidates having passed sslc, pu, iti, diploma or any degree can take part.	ಎಸ್ಎಸ್ಎಲ್ಸಿ, ಪಿಯು, ಐಟಿಐ, ಡಿಪ್ಲೊಮಾ ಅಥವಾ ಯಾವುದೇ ಪದವಿ ಪಡೆದ ಅಭ್ಯರ್ಥಿಗಳು ಇದರಲ್ಲಿ ಭಾಗವಹಿಸಬಹುದು.	ಎಸ್ಎಸ್ಎಲ್ಸಿ, ಪಿಯು, ಐಟಿಐ, ಡಿಪ್ಲೊಮಾ ಮೊದಲಾಗಿ  ಯಾವುದೇ ಪದವಿಧರರು ಅಭ್ಯರ್ಥಿಗಳು ಇದರಲ್ಲಿ ಭಾಗಿಯಾಗಬಹುದು.	1
candidates having passed sslc, pu, iti, diploma or any degree can take part.	ಎಸ್ಎಸ್ಎಲ್ಸಿ, ಪಿಯು, ಐಟಿಐ, ಡಿಪ್ಲೊಮಾ ಅಥವಾ ಯಾವುದೇ ಪದವಿ ಪಡೆದ ಅಭ್ಯರ್ಥಿಗಳು ಇದರಲ್ಲಿ ಭಾಗವಹಿಸಬಹುದು.	ಎಸ್ಎಸ್ಎಲ್ಸಿ, ಪಿಯು, ಐಟಿಐ, ಡಿಪ್ಲೊಮಾ ಅಥವಾ ಯಾವುದೇ ಪದವಿ ಪಡೆಯದ ಅಭ್ಯರ್ಥಿಗಳು ಇದರಲ್ಲಿ ಭಾಗವಹಿಸಬಹುದು.	0
